NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
10416001,Mikrobiologi,Aplikasi,"1. Memberikan training
2. Melakukan asistensi",ya,item1,4,M,Himamikro â€œArchaeaâ€ ITB,3.5,Seluruh kegiatan,4
10416002,Mikrobiologi,Quality Control Analyst,Melakukan analisa keamanan dari aspek mikrobiologi untuk produk dan bahan baku. ,ya,item1,4,C,"Himpunan Mahasiswa Mikrobiologi ""Archaea"" ITB",3.56,"Malam keakraban, kompetisi olahraga, diskusi keilmuan mikrobiologi",5
10416004,Mikrobiologi,Riset,"Mereview jurnal
Merancang vaksin
Merancang sistem produksi vaksin
Melakukan piket Lab",ya,item1,5,M,Himpunan Mahasiswa Mikrobiologi ARCHAEA ITB,3.62,Berjualan,4
10416005,Mikrobiologi,Programmer,,tidak,,4,M,URO,3.28,Bikin robot,4
10416006,Mikrobiologi,Marketing,"Marketing melalui media sosial, penulisan script untuk konten media sosial",tidak,item5,4,C,"HIMAMIKRO ""Archaea"" ITB",3.43,"Kepanitiaan, BPH",4
10416007,Mikrobiologi,,Uji microbiologis produk jadi Dan produk pengembangan (R&D),,,4,,Himamikro Archaea ITB,3.2,Kepanitiaan acara wisuda Dan pengabdian masyarakat,4
10416009,Mikrobiologi,Digital Marketing,,tidak,item4,4,J,HIMAMIKRO ITB,3.48,Badan Pengurus Harian sebagai Ketua Divisi Hubungan Luar,4
10416012,Mikrobiologi,Product Specialist Officer 5,"Mengerti dan memahami alur pembuatan produk-produk baru digital khususnya di bidang medis, termasuk permasalahan business digitalnya",ya,,5,C,"HIMAMIKRO ""Archaea"" ITB, Lingkung Seni Sunda (LSS) ITB, Gebrak Indonesia ITB",3.5,"Ikut dalam setiap kepanitiaan yang penting dan dibutuhkan, ikut menjadi pengurus, ikut melatih adik-adik tingkat, aktif pada kegiatan yang diadakan dan berpartisipasi, ikut dalam rapat-rapat diskusi, ikut pada survey lapangan, dll",5
10416013,Mikrobiologi,Layanan pemeriksaan,Melakukan analisis genomik sampel biologis dalam pemeriksaan swab RT-PCR,ya,,4,M,"Himpunan Mahasiswa Mikrobiologi ""Archaea"" ITB",3.51,"Syukuran wisuda, kegiatan pengmas, kegiatan internal himpunan",5
10416014,Mikrobiologi,Operations/Pricing Operations,"create promotions utk hotel2, analisa harga dan mengatur promotions supaya harganya tidak timpang/tetap kompetitif, quality assurance utk promotion yang sudah dicreate",tidak,,1,I,MBWG,3.27,"Latihan rutin, penampilan event kecil, kompetisi, evaluasi kegiatan",1
10416016,Mikrobiologi,Lab analyst,"Ekstraksi materi genetik, PCR, sekuencing",ya,item4,2,M,Himamikro archaea,3.5,Tidak ada,1
10416017,Mikrobiologi,Analis Laboratorium,Analis di Laboratorium kesehatan pemeriksaan COVID-19 (tahap ekstraksi-PCR di lab) dan sebagai admin proses pemeriksaan COVID-19 secara umum serta proses Whole Genome Sequences. ,ya,,4,Q,"Himpunan Mahasiswa Mikrobiologi ""Archaea"" ITB",3.43,"Ketua Divisi Manajemen Pengembangan Anggota, mengasah skill saya dalam mengolah data yang cukup besar (data anak anak himpunan)",5
10416018,Mikrobiologi,Surveillance Analyst,"- Bertanggungjawab dalam pelaksanaan serta analisis project Active Surveillance Avian Influenza Virus H5N1 di 10 daerah di Jawa dan Lampung yang meliputi 30 peternakan. Analisis meliputi data biologi molekuler untuk kebutuhan data insidensi penyakit, investigasi kejadian outbreak, serta dalam upaya pemerolehan isolat virus lapang untuk dijadikan sebagai seed vaksin.
- Bertanggungjawab dalam project Live-Bird Market Surveillance di 5 daerah di Sumatra dan Jawa yang bertujuan untuk menginvestigasi sirkulasi serta diversitas patogen unggas dalam upaya mitigasi serta pemerolehan isolat virus lapang untuk pengembangan seed vaksin
- Merintis serta mengembangkan project Post-Market Surveillance yang bertujuan untuk menginvestigasi aspek eksternal serta internal dari produk farmasetika antibiotik dan suplemen unggas yang mengalami penurunan penjualan.",ya,,5,A,"HIMAMIKRO ""Archaea"" ITB",3.49,Open House ITB,2
10416021,Mikrobiologi,Analis Laboratorium,"Melakukan ekstraksi RNA semi-otomatis dan RT-PCR untuk kurang lebih 100 â€“ 2000 spesimen swab COVID-19 nasopharyngeal swab per hari bersama 2 â€“ 5 orang.
Mengevaluasi positive rate dari uji antigen dan RT-PCR dari 150+ laboratorium di Jawa Barat dan mengkompilasi data persebaran spasiotemporal dari VOC (Variants of Concern) COVID-19 di provinsi-provinsi di Indonesia.
Melakukan ekstraksi RNA manual dan membantu preparasi sampel untuk Whole Genome Sequencing SARS-CoV-2.",ya,,4,Q,Himpunan Mahasiswa Mikrobiologi â€œArchaeaâ€ ITB,3.52,"Tim kreatif Fermenstation 2017, tim Kreatif Operon 2018. Anggota tim Publikasi Wisuda Juli, Oktober, dan April 2017, 2018, dan 2019 â€œArchaeaâ€. Ketua Divisi Publikasi dan Dokumentasi Wisuda April â€œArchaeaâ€ 2018. Ketua Divisi Dokumentasi dan Pensuasanaan Penerimaan Anggota Baru â€œArchaeaâ€ 2018. Ketua Divisi Medinfo â€œArchaeaâ€ 2019 - 2020. ",5
10416022,Mikrobiologi,Lab,Mengerjakan sampel rutin,ya,item3,2,A,"HIMAMIKRO, UGREEN",3.4,Mengurus BPH,2
10416023,Mikrobiologi,Karyawan Swasta,"â€¢ Ensure the smooth and efficient operation of the manufacturing process from start to finish, particularly in downstream processing.
â€¢ Ensure that all equipment and facilities are maintained to a high standard.
â€¢ Preparing and maintaining detailed production records and documentation.
â€¢ Monitoring and troubleshooting the manufacturing process to identify and resolve issues that may arise during production.
â€¢ Collaborating with teams to ensure the successful transfer of technology.
â€¢ Maintaining a safe and clean working environment by established procedures and regulations.",ya,item2,4,C,Unit Robotika ITB,3.44,Aktivitas Manajerial,4
10416026,Mikrobiologi,Supervisor,Manajemen personil dan pemastian kelancaran proses,tidak,,1,C,Himpunan,2.98,"graduation, acceptance of new members of the student association",2
10416028,Mikrobiologi,Asisten riset,Mengembangkan produk yang sudah ada sesuai dengan keinginan customer melalui aktivitas laboratorium,ya,item1,4,C,"Himamikro ""Archaea"" ITB; Protokoler ITB",3.54,"Badan Pengurus Harian (sebagai Ketua Divisi Sekretaris), Pengabdian Masyarakat di Himamikro ""Archaea"" ITB (sebagai anggota dan sekretaris jenderal di Gebrak Indonesia)",4
10416031,Mikrobiologi,Researcher,melakukan riset produk teknologi berbasis akuakultur,ya,item2,4,A,Unit Robotika ITB,3.47,Manajemen,4
10416032,Mikrobiologi,Application Specialist,"Mengenalkan produk perusahaan kepada customer, meng-assist customer dalam menggunakan produk perusahaan, melakukan troubleshooting terhadap kendala yang dihadapi customer dalam menggunakan produk perusahaan, melakukan uji fungsi produk perusahaan yang dibeli oleh customer.",tidak,item4,4,G,Tidak mengikuti organisasi apapun,3.67,Tidak mengikuti organisasi apapun,4
10416033,Mikrobiologi,"Peneliti, bioteknologi, biomanufacturing","Melakukan riset dan pengembangan produk terkait jamur, melakukan riset untuk membantu menurunkan angka kontaminasi produk di level produksi",ya,item1,5,C,Kabinet KM-ITB,3.15,ITB Innovators Move (ITB InMove),5
10416034,Mikrobiologi,Pengecekan produk,,ya,item1,4,S,Unit daerah ,3.54,menari,4
10416035,Mikrobiologi,,Research dan analisa perusahaan publik,,,1,,Himpunan,3.15,Himpunan,1
10416037,Mikrobiologi,"Keuangan, Pergudangan, Customer Service",Manajemen keuangan toko,tidak,tidak sama sekali,5,G,HIMAMIKRO ARCHAEA,,"Menjadi Kepala Bidang, Mengorganisir Acara / Kegiatan Himpunan",5
10416038,Mikrobiologi,Quality Control,"â€¢ Melakukan transfer metode analitik dari laboratorium pemberi
â€¢ Melakukan validasi metode analitik yang akan digunakan di laboratorium tempat bekerja
â€¢ Melakukan pengujian mutu produk biofarmasi dari aspek biokimia dan molekuler
â€¢ Melakukan pembukuan serta dokumentasi terkait seluruh aktivitas di laboratorium",ya,,4,Q,"HIMAMIKRO ""Archaea"" ITB",3.38,"HIMAMIKRO ""Archaea"" ITB",5
10416039,Mikrobiologi,IB,membantu klien dalam melakukan penawaran umum perdana saham dan juga jual beli perusahaan,tidak,item5,4,K,"ISO,Himamikro",3.53,Banyak hampir semua,1
10416040,Mikrobiologi,-,Supervisor laboratorium,ya,item2,4,A,Himpunan,3.55,Ekternal dan keprofesian,5
10516002,Kimia,Penjamin mutu,Jaminan mutu,ya,item3,4,D,URPA,3.38,Renang,4
10516004,Kimia,Pendidikan,,ya,item1,4,P,Unit Kesenian Bali (Maha Gotra Ganesha),3.93,Mengadakan festival tari bali,4
10516007,Kimia,Trade Finance,Menyelesaikan transaksi nasabah,tidak,item5,4,K,Himpunan Mahasiswa Kimia ITB,3.06,"Pencerdasan isu kampus, adanya event himpunan seperti dies dan syukuran wisuda, ikut dalam badan pengurus himpunan",4
10516008,Kimia,Riset ,Melakukan riset,ya,item1,5,M,Unit Rebana ITB,3.5,Managemen waktu,5
10516009,Kimia,Business Development,"Melakukan riset untuk pengembangan produk baru, serta melakukan eksperimen skala laboratorium untuk produk baru yang akan dikembangkan",ya,item2,5,C,Himpunan Mahasiswa Kimia 'AMISCA' ITB,3.19,"Badan Kepengurusan, OKTAN ITB",5
10516012,Kimia,Operator,,tidak,item1,5,C,HMK AMISCA ITB,2.99,HMK AMISCA ITB,5
10516013,Kimia,Research and Development,,ya,item3,2,C,"Amisca, UKM, Gamais, OSKM",3.22,membantu soft skill,1
10516014,Kimia,Pekerjaan di laboratorium dan administrasi,"Merancang dan mendesain formula suatu produk alat kesehatan in vitro
membuat laporan",ya,item2,4,C,"HMK ""AMISCA"" ITB",3.64,panitia kegiatan OKTAN ITB,5
10516016,Kimia,Research and Development,"Melakukan formulasi produk yang sesuai dengan permintaan pasar
Menganalisis formula sesuai dengan spesifikasi dan performa yang diinginkan
Merumuskan metode dan melakukan evaluasi pada sampel dari client
Menyusun dokumen hasil pengujian",ya,item1,4,B,AMISCA,3.79,"Forum diskusi internal lembaga, panitia acara/event yang melibatkan peserta dari seluruh Indonesia (OKTAN)",5
10516020,Kimia,Administrasi,,tidak,item5,4,K,Himpunan Mahasiswa Kimia â€˜AMISCAâ€™ ITB,3.17,Kepanitiaan Wisuda & Badan Pengurus Himpunan,4
10516021,Kimia,"Riset, evaluasi",Melakukan pengembangan produk dan inovasi produk baru,ya,,2,F,HMK 'AMISCA' ITB,2.83,Pelaksanaan Wisuda,2
10516024,Kimia,Chemist,"QC, RND",ya,item1,4,B,HMK 'AMISCA' ITB,3.12,Kepanitiaan masa penerimaan anggota baru,4
10516026,Kimia,Administrasi,"Menyusun dokumen lingkungan untuk persetujuan teknis, kerjasama, dan perizinan lingkungan
Mengevaluasi sistem manajemen perusahaan 
Memantau keberjalanan sistem manajemen perusahaan
Menyiapkan dokumen, berkomunikasi dengan pihak terkait untuk kerjasama B-to-B",tidak,item4,5,E,"Maha Gotra Ganesha, HMK AMISCA ITB",3.69,"Dies Natalis, Festival Tari Bali, PPAB, Panitia Wisuda Himpunan",5
10516029,Kimia,Management Trainee,,tidak,item5,1,K,Himpunan,3,Tidak ada,1
10516031,Kimia,RnD,Mengembangkan metode analisa,ya,item1,4,M,Amisca,3.73,"Pembuatan majalah, oktan",5
10516033,Kimia,IT Quality Assurance ,,tidak,item5,2,J,HMK Amisca ,3.42,Manajemen personal,2
10516036,Kimia,Quality Control - Technical Service Lab,Membuat protokol dan report serta eksekusi Transfer Method. Dan Review serta monitoring kondisi analisa di lab.,ya,,5,C,PMK ITB,3.16,"Rapat, Pelayanan, Panitia, dll.",5
10516037,Kimia,Chemist,"Research and Development Chemist
1. Mengembangkan produk baru
2. Research untuk kualitas produk yang telah ada
3. Problem solving",ya,item1,4,C,Himpunan Program Studi,3.45,"Skhole ITB Mengajar, KKN Tematik ITB, OKTAN ITB",5
10516039,Kimia,Riset penelitian & pengembangan,"Melakukan riset di bidang baterai ; Melakukan pengujian baterai, Melakukan konversi baterai timbal ke baterai litium ; Melakukan pendekatan ke institusi lain yang mau bekerjasama dalam pengembangan riset produk/pengujian/aplikasi baterai litium",tidak,item3,4,M,HMK AMISCA ITB,3.16,Forum Himpunan,2
10516040,Kimia,Riset dan Certification Product,,ya,item2,4,C,Tutor Asrama ITB,3.44,Tutor Asrama ITB,4
10516042,Kimia,Flavourist,"My key responsibility :
â€¢ PIC of Indonesia Flavour Lab to manage raw material, building block and flavor availability for development.
â€¢ PIC of digitalization and WPI of Product Development Departement to create automatic request form, training material web page and database dashboard by using Microsoft Power Apps, Microsoft Power BI and Microsoft Power Automate.
â€¢ Mixing casing and flavor for product prototyping.
â€¢ Support Export and Import activities for product development project.
â€¢ Support blend separation activities for cigarette blend profilling and analysis.
â€¢ Support sensory activities that required flavour material for refreshment and profilling purposes.
â€¢ Support tax stamp management.
â€¢ Support end to end process for above market project request.
â€¢ Support cigarette trial production in PP and SMD level.",ya,item3,2,C,HMK AMISCA,3.68,"OKTAN, PEMIRA, IAKI",4
10516045,Kimia,Import kosmetik,Import produk kosmetik,tidak,item4,2,U,Himpunan,3.39,Event,2
10516046,Kimia,Quality Control,Memimpin tim dan memecahkan masalah yang ada dalam tim,tidak,,4,C,HMK Amisca ITB,3.15,Menjadi ketua acara,5
10516047,Kimia,Chemist,"Foreman, chemist, dan pengolah data",ya,,4,B,HMK 'AMISCA' ITB dan FORMAT ITB,3.56,Pengabdian masyarakat,4
10516049,Kimia,Riset dan pengembangan (RnD),"Melakukan riset dan pengembangan produk minuman berbasis serbuk dan sirup 
Melakukan pengaturan alur kerja produksi
Melakukan pengecekan bahan baku masuk maupun keluar (stock opname)
Melakukan tugas pembantuan manajer apabila yang bersangkutan berhalangan 
",tidak,item3,2,I,MPA HMK 'AMISCA' ITB,3.43,"Pemira (Pemilu Raya), Muker (Musyawarah Kerja), Pengawasan Badan Pengurus Himpunan",4
10516050,Kimia,Digital Planner,merancang strategi digital marketing,tidak,item5,2,S,Liga Film Mahasiswa,3.17,Kaderisasi bidang pertunjukan membantu mengasah skill project management dan digital skills yang sekarang sangat terpakai di pekerjaan saya,4
10516051,Kimia,Quality Control,"Supervisi & mengoordinasi aktivitas pekerja dalam menganalisa raw material, work in progress/process, dan finished good agar sesuai dengan kualitas perusahaan/spesifikasi pelanggan.",ya,item1,4,C,HMK 'AMISCA' ITB,3.32,Tutor,4
10516053,Kimia,,Quality control,,,4,,Hmk amisca,3.51,"Oktan, perayaan wisuda, anodic, dies",5
10516054,Kimia,Application Support,"Presentasi produk kepada customer dan menjadi pembicara di seminar/webinar, mentraining instrument, mendampingi customer pada saat pengembangan metode analisa, mendampingi sales pada saat kunjungan ke customer, menyusun konfigurasi instrument, membuat laporan",ya,item1,4,M,HMK Amisca ITB,3.53,OKTAN ITB,4
10516055,Kimia,Riset dan Development,Mengembangkan metoda analisis komponen obat dan mentransfer metoda tersebut kepada divisi QC,ya,,4,C,HMK 'AMISCA' ITB,3.71,"Manajemen Organisasi, Event Organizer.",4
10516056,Kimia,Pengajar,"Memanaje Laboratorium IPA dan Komputer tingkat SMP dan SMA, Mengajar Mata pelajaran Matematika tingkat SMP, Menjadi Guru Pendamping beberapa siswa SMP dan SMA",ya,item3,4,P,Koperasi Kesejahteraan Mahasiswa ITB,2.79,"Brainstorming, Manajemen Anggota, Menjalin Hubungan Intra/Ekstra kampus",4
10516059,Kimia,Riset dan Pengembangan,Melakukan riset mengenai pengubahan komposisi dari produk perusahaan untuk menurunkan harga produksi,ya,,4,G,HMK 'AMISCA' ITB,3.4,Kegiatan Kepengurusan,2
10516061,Kimia,Y,Tanggungjawab ,ya,item3,2,C,HMK AMISCA ITB ,3.13,HMK 'AMISCA'ITB ,4
10516062,Kimia,Bidang Research and Development,Menyusun prosedur pengembangan metode analisa untuk obat baru,ya,,4,C,GAMAIS,3.11,Mengadakan agenda-agenda kaderisasi sehingga mampu mengasah kemampuan manajemen SDM untuk,4
10516063,Kimia,kimia,,ya,item3,2,C,HMK AMISCA ITB,3.14,Kemampuan untuk berkomunikasi dan bekerja sama ,2
10516064,Kimia,Pendidikab,,tidak,item5,1,P,HMK 'Amisca',3.38,"Kepanitiaan OKTAN, Kepanitiaan Wisuda, menjadi badan pengurus",1
10516065,Kimia,RND,"Menyusun jadwal dan mengkoordinir Analis dalam melaksanakan pengujian di laboratorium, melakukan pengembangan metode analisa, transfer metode analisa, dan validasi metode analisa, mengkoordinir pelaksaan uji stabilitas, menyusun dokumen-dokumen untuk keperluan registrasi di BPOM, mengkoordinir ketersediaan reagen dan peralatan laboratorium. ",ya,item2,4,C,Himpunan program studi,3.52,kepanitiaan dalan tiap event yang diadakan ,4
10516066,Kimia,Programming,"Analisis Data, Engineering Data, Front End(UI UX) Development",tidak,item4,4,J,HMK AMISCA ITB,2.88,Masa Penerimaan Anggota Baru HMK AMISCA,4
10516067,Kimia,Sales support,"Mencari/mereview jurnal/penelitian terkait aplikasi analisis/instrument terkait
Support presentasi untuk pre-sales
Support aplikasi untuk instrument high technology (after-sales)
Support diskusi dengan customer jika dibutuhkan Sales",ya,item2,4,M,HMK 'AMISCA' ITB,3.28,OKTAN ITB,4
10516070,Kimia,,,,,2,,HMK â€˜AMISCAâ€™ ITB,3.07,Pernah diberi kesempatan menjadi Kepala Divisi Artistik Wisuda April Kimia ITB 2018,1
10516073,Kimia,Research and Development,melakukan pengembangan produk ,ya,,4,G,HMK 'AMISCA' ITB dan Unit Softball,3.05,Menjadi Badan Pengurus,4
10516074,Kimia,Guru IPA SMP dan Guru Kimia SMA,,ya,,5,P,"Himpunan Mahasiswa Kimia (HMK) ""AMISCA"" ITB",3.1,"Wisuda, OKTAN ITB",4
10516076,Kimia,Produksi,DCS Operator,ya,item3,4,C,URI,3.49,Divisi hubungan masyarakat,4
10516080,Kimia,Data Analyst,,tidak,item5,1,K,-,3.05,-,1
10516082,Kimia,"Lingkungan, Pengolahan Air Limbah, Tambang Batubara","Sebagai R&D Officer, saya memiliki kewajiban dan tugas utama dalam riset dan pengembangan, serta keperluan administrasi. Saya mengawasi keberjalanan WWTP untuk memastikan berjalan dengan semestinya, sembari melakukan riset untuk improvement agar WWTP dapat berjalan lebih baik. Sedangkan untuk keperluan administrasi, saya melakukan pengiriman sampel kepada pihak ke tiga untuk analisis air WWTP untuk dilaporkan kepada KLHK, Pemprov, dan Pemkab setempat untuk pelaporan lingkungan, serta keperluan administrasi lainnya kepada mitra kerja WWTP.",tidak,,5,B,HMK 'AMISCA' ITB,3.04,Menjadi Kepala Divisi Kaderisasi,5
10516083,Kimia,Mengajar,"Membina siswa sma untuk persiapan olimpiade kimia.
Membuat soal-soal latihan olimpiade kimia.
Menyusun materi pembelajaran olimpiade kimia.",ya,item2,4,P,Senyum Indonesia,3.77,Bakti sosial ke pelosok Jawa Barat.,4
10516085,Kimia,"Product Development, RnD","Mengembangkan produk insektisida rumah tangga, terutama dari segi formulasi.
Men-support proses perizinan produk insektisida rumah tangga.
Bekerja sama dengan pihak-pihak terkait guna mengembangkan produk insektisida rumah tangga dari berbagai aspek.",ya,item1,5,C,Perkumpulan Seni Tari dan Karawitan Jawa (PSTK),3.74,Pagelaran Seni,5
10516087,Kimia,Creative marketing,Sebagai manager dari departemen kreatif marketing,tidak,item4,2,Q,STEMA,2.75,Melatih kesenian teatrikal,4
10516089,Kimia,Mengajar,"Menyusun materi pembelajaran
Mengajar sesuai materi",tidak,item3,4,P,HMK 'AMISCA' ITB,3.03,Kewirausahaan,4
10516091,Kimia,marketing,"relationship
bisnis
analisa",tidak,item5,2,K,empi19,3.33,fundraising,2
10616001,Biologi,Shop Clerk,,tidak,item5,2,R,Unit Kebudayaan Jepang,2.82,"Manajemen sumber daya manusia, leadership, manajemen waktu",2
10616003,Biologi,General Affairs,Saya bekerja sebagai General Affairs ,tidak,item5,2,S,"HIMABIO ""Nymphaea"" ITB",2.96,Tidak ada ,2
10616004,Biologi,RnD,Research and development,ya,,4,M,Menwa,2.99,"Diksar, KDSP",4
10616006,Biologi,Reporting,"Membuat laporan bulanan dan tri-wulan, analisis data, dan pembuatan dokumentasi data lapangan berupa buku.",ya,item2,4,M,KCC,3.45,Rapat anggota,2
10616007,Biologi,Analisis sampel biologis,"Kegiatan lab seperti ekstraksi dna berbagai macam sampel seperti darah, lingkungan, tumbuhan. Lalu dilanjutkan dengan analisis PCR, ddPCR, dan sequencing. ",ya,item1,4,M,Himpunan mahasiswa biologi Nymphaea ITB,3.67,Rapat Koordinasi Bulanan antar Departemen ,2
10616009,Biologi,,"â— Prepared the purchase orders, solicited quote proposals and suggested course of
action for procurement of requisitions for goods and services.
â— Reviewed, entered, and maintained manual and computerized records of purchase requisitions and
mechanical data, items purchased, costs, schedule of deliveries.
â— Negotiated with principles/vendors and suppliers to establishing price, delivery,
quantity, payment, the scope of work, change orders; researched sources of supply.
â— Monitored and ensure that the purchased items always met the requirements in the term of quality,
quantity, prices, and delivery.
â— Handled the import clearance document with the customs department.
â— Coordinated with forwarder on the import shipment, booking and delivery to ensure that all goods
are delivered and received on time in a proper manner with accurate documentation",,,4,,"Himabio ""Nymphaea""",3.07,Pengabdian Masyarakat,4
